    season, game,    batter, inn, PA, AB, R, H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS
2010summer,    5,     Donna,   5,  2,  2, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,    6,     Donna,   5,  2,  2, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2010summer,    7,     Donna,   5,  3,  3, 1, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667
2010summer,    8,     Donna,   5,  2,  2, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,   11,     Donna,   3,  2,  2, 1, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2011summer,    2,     Donna,   5,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2011summer,    4,     Donna,   4,  2,  2, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2011summer,    5,     Donna,   5,  2,  2, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
  2011fall,    2,    Dustin,   6,  4,  4, 1, 3,   1,   1,  0,   1,  0,  0,  0,   0, 0.750, 0.750, 1.500, 2.250
  2010fall,    6, Elizabeth,   7,  2,  1, 0, 0,   0,   0,  0,   0,  1,  1,  0,   0, 0.000, 0.500, 0.000, 0.500
2010summer,    1, Elizabeth,   5,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,    3, Elizabeth,   5,  1,  1, 0, 0,   0,   0,  0,   0,  0,  1,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,    5, Elizabeth,   5,  2,  2, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,    6, Elizabeth,   5,  2,  2, 0, 0,   0,   0,  0,   0,  0,  1,  0,   1, 0.000, 0.000, 0.000, 0.000
  2010fall,    6,       Eve,   7,  2,  1, 0, 0,   0,   0,  0,   0,  1,  1,  0,   0, 0.000, 0.500, 0.000, 0.500
  2010fall,    2,    FrankF,   5,  3,  3, 0, 2,   0,   0,  0,   1,  0,  0,  0,   0, 0.667, 0.667, 0.667, 1.333
2010summer,    2,    FrankF,   5,  0,  0, 0, 0,   0,   0,  0,   1,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,    3,    FrankF,   3,  2,  2, 1, 1,   1,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 1.000, 1.500
2010summer,    4,    FrankF,   2,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,    6,    FrankF,   5,  3,  2, 2, 2,   0,   0,  0,   0,  1,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
2010summer,    7,    FrankF,   3,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,    8,    FrankF,   4,  1,  1, 0, 0,   0,   0,  0,   0,  0,  1,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,   11,    FrankF,   7,  4,  4, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
  2011fall,    2,    FrankF,   6,  3,  3, 1, 2,   0,   0,  0,   1,  0,  0,  0,   0, 0.667, 0.667, 0.667, 1.333
  2011fall,    3,    FrankF,   2,  1,  1, 1, 1,   0,   0,  1,   1,  0,  0,  0,   0, 1.000, 1.000, 4.000, 5.000
  2011fall,    4,    FrankF,   6,  3,  3, 1, 1,   1,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.667, 1.000
  2011fall,    5,    FrankF,   3,  2,  2, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2011summer,    1,    FrankF,   5,  2,  1, 1, 0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 0.500, 0.000, 0.500
2011summer,    2,    FrankF,   5,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2011summer,    4,    FrankF,   6,  3,  2, 0, 2,   0,   0,  0,   1,  1,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
2011summer,    6,    FrankF,   7,  3,  3, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667
2011summer,   10,    FrankF,   5,  2,  2, 1, 1,   0,   1,  0,   1,  0,  0,  0,   0, 0.500, 0.500, 1.500, 2.000
2011summer,   12,    FrankF,   5,  2,  1, 0, 1,   0,   0,  0,   0,  1,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
  2012fall,    1,    FrankF,   6,  3,  3, 0, 2,   0,   0,  0,   0,  0,  0,  0,   0, 0.667, 0.667, 0.667, 1.333
  2012fall,    3,    FrankF,   3,  2,  1, 0, 0,   0,   0,  0,   1,  0,  1,  1,   0, 0.000, 0.000, 0.000, 0.000
  2012fall,    4,    FrankF,   6,  4,  4, 3, 3,   1,   0,  0,   2,  0,  0,  0,   0, 0.750, 0.750, 1.000, 1.750
  2012fall,    5,    FrankF,   7,  4,  3, 2, 1,   0,   0,  0,   0,  1,  0,  0,   0, 0.333, 0.500, 0.333, 0.833
2012spring,    1,    FrankF,   5,  3,  3, 1, 2,   0,   0,  1,   1,  0,  0,  0,   0, 0.667, 0.667, 1.667, 2.333
2012spring,    2,    FrankF,   4,  2,  2, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2012spring,    3,    FrankF,   5,  3,  3, 0, 2,   0,   0,  0,   0,  0,  0,  0,   0, 0.667, 0.667, 0.667, 1.333
2012summer,    1,    FrankF,   7,  3,  3, 1, 1,   1,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.667, 1.000
2012summer,    2,    FrankF,   4,  2,  2, 0, 1,   1,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 1.000, 1.500
2012summer,    3,    FrankF,   5,  2,  2, 0, 1,   1,   0,  0,   1,  0,  0,  0,   0, 0.500, 0.500, 1.000, 1.500
2012summer,    9,    FrankF,   7,  3,  2, 0, 1,   0,   0,  0,   0,  1,  0,  0,   0, 0.500, 0.667, 0.500, 1.167
2012summer,   11,    FrankF,   2,  1,  0, 0, 0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 1.000, 0.000, 1.000
2012summer,   12,    FrankF,   5,  3,  1, 1, 0,   0,   0,  0,   1,  2,  0,  0,   0, 0.000, 0.667, 0.000, 0.667
2012summer,   13,    FrankF,   3,  1,  1, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
2013summer,    1,    FrankF,   2,  2,  2, 2, 2,   1,   0,  0,   3,  0,  0,  0,   0, 1.000, 1.000, 1.500, 2.500
2013summer,    2,    FrankF,   5,  2,  2, 1, 1,   0,   0,  0,   1,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2013summer,    3,    FrankF,   4,  3,  3, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667
2013summer,    4,    FrankF,   7,  2,  2, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2013summer,    5,    FrankF,   4,  2,  2, 0, 2,   0,   0,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
2010summer,    4,    FrankH,   3,  1,  1, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
2010summer,    7,    FrankH,   5,  2,  2, 1, 1,   0,   0,  0,   1,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2010summer,    8,    FrankH,   2,  1,  1, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
2010summer,   11,    FrankH,   3,  2,  2, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
  2011fall,    1,    FrankH,   3,  1,  1, 1, 1,   0,   0,  0,   1,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
  2011fall,    5,    FrankH,   7,  3,  3, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667
  2011fall,    6,    FrankH,   6,  2,  2, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2011summer,    1,    FrankH,   5,  2,  1, 1, 0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 0.500, 0.000, 0.500
2011summer,    4,    FrankH,   4,  1,  1, 0, 0,   0,   0,  0,   0,  0,  1,  0,   0, 0.000, 0.000, 0.000, 0.000
